# variable_id: VAR_GCC_NOMINAL_GDP_BY_COUNTRY
# display_name: GCC Nominal GDP by Country (USD billions)
# units: usd_billions
# scale: native
# source: IMF World Economic Outlook
# extracted_from: IMF WEO database
# last_refreshed: 2026-05-06
country,year,value
Bahrain,1980,3.745
Bahrain,1981,4.228
Bahrain,1982,4.445
Bahrain,1983,4.554
Bahrain,1984,4.727
Bahrain,1985,4.46
Bahrain,1986,3.49
Bahrain,1987,3.78
Bahrain,1988,4.672
Bahrain,1989,4.873
Bahrain,1990,5.176
Bahrain,1991,5.43
Bahrain,1992,5.673
Bahrain,1993,6.241
Bahrain,1994,6.683
Bahrain,1995,7.075
Bahrain,1996,7.357
Bahrain,1997,7.629
Bahrain,1998,7.293
Bahrain,1999,7.905
Bahrain,2000,9.448
Bahrain,2001,9.579
Bahrain,2002,10.001
Bahrain,2003,11.546
Bahrain,2004,13.709
Bahrain,2005,16.647
Bahrain,2006,19.291
Bahrain,2007,22.653
Bahrain,2008,26.803
Bahrain,2009,23.913
Bahrain,2010,26.806
Bahrain,2011,29.915
Bahrain,2012,31.963
Bahrain,2013,33.823
Bahrain,2014,34.773
Bahrain,2015,32.523
Bahrain,2016,33.885
Bahrain,2017,37.205
Bahrain,2018,39.568
Bahrain,2019,40.447
Bahrain,2020,35.838
Bahrain,2021,40.84
Bahrain,2022,46.68
Bahrain,2023,46.08
Bahrain,2024,47.812
Kuwait,1981,25.249
Kuwait,1982,21.583
Kuwait,1983,20.871
Kuwait,1984,21.7
Kuwait,1985,21.445
Kuwait,1986,17.904
Kuwait,1987,22.368
Kuwait,1988,20.69
Kuwait,1989,24.313
Kuwait,1990,18.293
Kuwait,1991,10.826
Kuwait,1992,19.871
Kuwait,1993,23.955
Kuwait,1994,24.859
Kuwait,1995,27.186
Kuwait,1996,31.491
Kuwait,1997,30.35
Kuwait,1998,25.941
Kuwait,1999,30.126
Kuwait,2000,37.714
Kuwait,2001,34.906
Kuwait,2002,38.129
Kuwait,2003,47.869
Kuwait,2004,59.439
Kuwait,2005,80.799
Kuwait,2006,101.548
Kuwait,2007,114.608
Kuwait,2008,147.391
Kuwait,2009,105.992
Kuwait,2010,115.401
Kuwait,2011,154.02
Kuwait,2012,174.066
Kuwait,2013,174.179
Kuwait,2014,162.695
Kuwait,2015,114.606
Kuwait,2016,109.399
Kuwait,2017,120.688
Kuwait,2018,138.655
Kuwait,2019,140.885
Kuwait,2020,111.048
Kuwait,2021,148.455
Kuwait,2022,183.977
Kuwait,2023,163.716
Kuwait,2024,161.822
Oman,1980,7.269
Oman,1981,8.849
Oman,1982,9.285
Oman,1983,9.733
Oman,1984,10.726
Oman,1985,11.916
Oman,1986,9.433
Oman,1987,9.89
Oman,1988,9.613
Oman,1989,10.743
Oman,1990,13.395
Oman,1991,13.0
Oman,1992,14.274
Oman,1993,14.321
Oman,1994,14.808
Oman,1995,15.821
