rating,rating_after_1_notch_downgrade
QDB 1+,QDB 1
QDB 1,QDB 1-
QDB 1-,QDB 2+
QDB 2+,QDB 2
QDB 2,QDB 2-
QDB 2-,QDB 3+
QDB 3+,QDB 3
QDB 3,QDB 3-
QDB 3-,QDB 4+
QDB 4+,QDB 4
QDB 4,QDB 4-
QDB 4-,QDB 5+
QDB 5+,QDB 5
QDB 5,QDB 5-
QDB 5-,QDB 6+
QDB 6+,QDB 6
QDB 6,QDB 6-
QDB 6-,QDB 7
QDB 7,QDB 8
QDB 8,QDB 9
QDB 9,QDB 9
Aaa,Aa1
Aa1,Aa2
Aa2,Aa3
Aa3,A1
A1,A2
A2,A3
A3,Baa1
Baa1,Baa2
Baa2,Baa3
Baa3,Ba1
Ba1,Ba2
Ba2,Ba3
Ba3,B1
B1,B2
B2,B3
B3,Caa1
Caa1,Caa2
Caa2,Caa3
Caa3,Ca
Ca,C
C,C
