collateral_type_id,external_collateral_type,description,haircut_general,haircut_12m,haircut_24m,realization_period
1,1,COLLATERAL ACCOUNT,1.00,,,
2,1,LETTER OF GUARANTEE-BANK,0.00,,,
3,1,Comfort assignment,1.00,,,
4,1,Residential Property,0.50,,,
5,1,Share - Local,1.00,,,
6,1,Share - Foreign,1.00,,,
7,1,Personal Guarantee,1.00,,,
8,1,Other Guarantee,1.00,,,
9,1,Equity collateral,1.00,,,
10,1,Machinery Detail,1.00,,,
11,1,GOODS,1.00,,,
12,1,Commercial Property,0.75,,,
13,1,Precious Metal,1.00,,,
14,1,FARM PROPERTY,1.00,,,
15,1,FITTING DETAILS,1.00,,,
16,1,Misc. Detail,1.00,,,
17,1,Document Detail,1.00,,,
18,1,Portfolio,1.00,,,
19,1,Equity,1.00,,,
20,1,Local Bond,1.00,,,
21,1,Foreign Bond,1.00,,,
22,1,Cash Collateral,1.00,,,
23,1,Insurance Collateral,1.00,,,
24,1,Corporate Guarantee,1.00,,,
25,1,Personal cheque,1.00,,,
26,1,CORPORATE CHEQUE,1.00,,,
