industry_code,industry_description,sector
6399,6399 Other information service activities,Services
5210,5210 Warehousing and storage,Services
9321,9321 Activities of amusement parks and,Tourism
4721,4721 Retail sale of food in specialized,Services
2392,2392 Manufacture of clay building,Manufacturing
3290,3290 Other manufacturing n.e.c.,Manufacturing
2790,2790 Manufacture of other electrical,Manufacturing
2511,2511 Manufacture of structural metal,Manufacturing
2599,2599 Manufacture of other fabricated,Manufacturing
2391,2391 Manufacture of refractory products,Manufacturing
0146,0146 Raising of poultry,Livestock
2013,2013 Manufacture of plastics and,Manufacturing
8620,8620 Medical and dental practice,Medical
2310,2310 Manufacture of glass and glass,Manufacturing
1701,"1701 Manufacture of pulp, paper and",Manufacturing
0240,0240 Support services to forestry,Agriculture
1079,1079 Manufacture of other food products,Manufacturing
2023,2023 Manufacture of soap and,Manufacturing
2394,"2394 Manufacture of cement, lime and",Manufacturing
8510,8510 Pre-primary and primary education,Education
1030,1030 Processing and preserving of fruit,Agriculture
8521,8521 General secondary education,Education
0610,0610 Extraction of crude petroleum,Manufacturing
2813,"2813 Manufacture of other pumps,",Manufacturing
1812,1812 Service activities related to printing,Services
2220,2220 Manufacture of plastics products,Manufacturing
2431,2431 Casting of iron and steel,Manufacturing
1709,1709 Manufacture of other articles of,Manufacturing
1104,1104 Manufacture of soft drinks;,Manufacturing
2395,2395 MANUFACTURE OF ARTICLE,Manufacturing
2610,2610 Manufacture of electronic,Manufacturing
2211,2211 Manufacture of rubber tyres and,Manufacturing
8530,8530 Higher education,Education
2399,2399 Manufacture of other non-metallic,Manufacturing
2022,"2022 Manufacture of paints, varnishes",Manufacturing
1010,1010 Processing and preserving of meat,Livestock
2732,2732 Manufacture of other electronic and,Manufacturing
2591,"2591 Forging, pressing, stamping and",Manufacturing
4390,4390 Other specialized construction,Construction services
2432,2432 Casting of non-ferrous metals,Manufacturing
2740,2740 Manufacture of electric lighting,Manufacturing
5610,5610 Restaurants and mobile food,Tourism
8610,8610 Hospital activities,Medical
2814,"2814 Manufacture of bearings, gears,",Manufacturing
1040,1040 Manufacture of vegetable and,Manufacturing
3822,3822 Treatment and disposal of,Services
2829,2829 Manufacture of other special-,Manufacturing
2396,"2396 Cutting, shaping and finishing of",Manufacturing
2592,2592 Treatment and coating of metals;,Manufacturing
4100,4100 Construction of buildings,Construction services
1811,1811 Printing,Services
2410,2410 Manufacture of basic iron and steel,Manufacturing
8541,8541 Sports and recreation education,Education
5510,5510 Short term accommodation,Tourism
2822,2822 Manufacture of metal-forming,Manufacturing
0113,"0113 Growing of vegetables and melons,",Agriculture
2219,2219 Manufacture of other rubber,Manufacturing
3011,3011 Building of ships and floating,Manufacturing
1920,1920 Manufacture of refined petroleum,Manufacturing
1629,1629 Manufacture of other products of,Manufacturing
8550,8550 Educational support activities,Education
3520,3520 Manufacture of gas; distribution of,Manufacturing
7110,7110 Architectural and engineering,Services
5221,5221 Service activities incidental to land,Services
3100,3100 Manufacture of furniture,Manufacturing
0150,0150 Mixed farming,Agriculture
0119,0119 Growing of other non-perennial,Agriculture
0311,0311 Marine fishing,Fisheries
8129,8129 Other building and industrial,Services
1393,1393 Manufacture of carpets and rugs,Manufacturing
5811,5811 Book publishing,Services
0125,0125 Growing of other tree and bush,Agriculture
0144,0144 Raising of sheep and goats,Livestock
0141,0141 Raising of cattle and buffaloes,Livestock
2029,2029 Manufacture of other chemical,Manufacturing
1399,1399 Manufacture of other textiles n.e.c.,Manufacturing
1702,1702 Manufacture of corrugated paper,Manufacturing
2512,"2512 Manufacture of tanks, reservoirs",Manufacturing
3600,"3600 Water collection, treatment and",Services
0143,0143 Raising of camels and camelids,Livestock
1410,"1410 Manufacture of wearing apparel,",Manufacturing
6020,6020 Television programming and,Services
3812,3812 Collection of hazardous waste,Services
1394,"1394 Manufacture of cordage, rope, twine and netting",Manufacturing
1073,"1073 Manufacture of cocoa, chocolate and sugar confectionery",Manufacturing
1391,1391 Manufacture of knitted and crocheted fabrics,Manufacturing
1312,1312 Weaving of textiles,Manufacturing
,,Others
7310,7310 Advertising,Services
7020,7020 Management consultancy activities,Services
7500,7500 Veterinary activities,Services
1622,1622 Manufacture of builders carpentry and joinery,Manufacturing
1075,1075 Manufacture of prepared meals and dishes,Manufacturing
9609,9609 Other personal service activities n.e.c.,Services
3530,3530 Steam and air conditioning supply,Manufacturing
5820,5820 Software publishing,Services
7721,7721 Renting and leasing of recreational and sports goods,Services
7730,"7730 Renting and leasing of other machinery, equipment and t",Services
2930,2930 Manufacture of parts and accessories for motor vehicles,Manufacturing
6209,6209 Other information technology and computer service activ,Services
2720,2720 Manufacture of batteries and accumulators,Manufacturing
2593,"2593 Manufacture of cutlery, hand tools and general hardware",Manufacturing
7490,"7490 Other professional, scientific and technical activities",Services
7410,7410 Specialized design activities,Services
9601,9601 Washing and (dry-) cleaning of textile and fur products,Services
8412,"8412 Regulation of the activities of providing health care,",Services
4651,"4651 Wholesale of computers, computer peripheral equipment a",Services
5590,5590 Other accommodation,Tourism
8549,8549 Other education n.e.c.,Education
6312,6312 Web portals,Services
5630,5630 Beverage serving activities,Services
3510,"3510 Electric power generation, transmission and distributio",Manufacturing
6619,6619 Other activities auxiliary to financial service activit,Services
5911,"5911 Motion picture, video and television programme producti",Services
2393,2393 Manufacture of other porcelain and ceramic products,Manufacturing
8690,8690 Other human health activities,Medical
9311,9311 Operation of sports facilities,Services
3240,3240 Manufacture of games and toys,Manufacturing
5520,"5520 Camping grounds, recreational vehicle parks and trailer",Services
8230,8230 Organization of conventions and trade shows,Services
2420,2420 Manufacture of basic precious and other non-ferrous met,Manufacturing
2011,2011 Manufacture of basic chemicals,Manufacturing
6311,"6311 Data processing, hosting and related activities",Services
4763,4763 Retail sale of sporting equipment in specialized stores,Services
6120,6120 Wireless telecommunications activities,Services
6411,6411 Central banking,Services
8292,8292 Packaging activities,Services
9602,9602 Hairdressing and other beauty treatment,Services
3230,3230 Manufacture of sports goods,Manufacturing
4520,4520 Maintenance and repair of motor vehicles,Services
9000,"9000 Creative, arts and entertainment activities",Services
1511,1511 Tanning and dressing of leather; dressing and dyeing of,Services
5629,5629 Other food service activities,Services
9103,9103 Botanical and zoological gardens and nature reserves ac,Tourism
9329,9329 Other amusement and recreation activities n.e.c.,Tourism
3311,3311 Repair of fabricated metal products,Tourism
8790,8790 Other residential care activities,Services
1071,1071 Manufacture of bakery products,Manufacturing
1623,1623 Manufacture of wooden containers,Manufacturing
2710,"2710 Manufacture of electric motors, generators, transformer",Manufacturing
8890,8890 Other social work activities without accommodation,Services
0116,0116 Growing of fibre crops,Agriculture
3012,3012 Building of pleasure and sporting boats,Manufacturing
4220,4220 Construction of utility projects,Manufacturing
1610,1610 Sawmilling and planing of wood,Manufacturing
9529,9529 Repair of other personal and household goods,Services
