rating,ttc_pd
QDB 1+,0.00013
QDB 1,0.0005449770579696394
QDB 1-,0.0033166247903554
QDB 2+,0.01264911064067352
QDB 2,0.02039607805437114
QDB 2-,0.03224903099319741
QDB 3+,0.05079445074933853
QDB 3,0.06380191301847751
QDB 3-,0.08014034246575344
QDB 4+,0.1264405092594187
QDB 4,0.1469729691876752
QDB 4-,0.1708397734061372
QDB 5+,0.1994899527810644
QDB 5,0.2145885885593115
QDB 5-,0.2318850232049587
QDB 6+,0.2505754726595257
QDB 6,0.2912661666234175
QDB 6-,0.3385645528581175
QDB 7,0.3953425143875812
QDB 8,0.6237468734657869
QDB 9,0.7834763020022036
